sourceId,priority,provider,owner,sourceType,coverageYears,url,ingestionPath,storesRawArtifacts,parserStatus,notes
sookmyung-official-admission-site,p0,숙명여자대학교 입학처,숙명여자대학교,official_public_html_pdf_image_glm_ocr,2026-2027,https://admission.sookmyung.ac.kr/admission/html/main/main.asp,manual official admission.sookmyung.ac.kr routes; counsel noticeView p_board_idx 54119 수시모집 모집요강; p_board_idx 52956 대학입학전형시행계획; p_board_idx 54115 주요 행사 일정; common downLoad PDF; crosseditor schedule JPG; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/ocr-university-admission-image-attachments.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_sookmyung_manual_integrated,"2026-06-12 수동 official-site 보강. 숙명여자대학교 ADIGA 코드 0000141을 대상으로 공식 host admission.sookmyung.ac.kr만 사용함. 현행 입학처 메인 HTML에서 2027 수시모집 모집요강, 2027 대학입학전형시행계획, 2026년 주요 행사 일정 detail route 3행을 선별함. detail HTML 3건을 HTTP 200으로 보존하고 2027 시행계획 PDF 1건을 /common/downLoad.asp 공식 file route로 저장했으며, 주요 행사 일정 detail의 crosseditor JPG 일정표 1건도 공식 same-host 이미지로 저장함. PDF 1건은 17쪽/53,771자 텍스트로 추출됐고 PDF snippet 7행(eligibility_rule 3 screening_method 1 recruitment_quota_table 1 school_record_rule 1 csat_reflection_rule 1)을 생성함. 일정 JPG는 glm-ocr로 schedule_image_ocr AdmissionSchedule evidence 1행을 생성함. 이미지 OCR role 규칙은 schedule 신호를 broad competition-rate 패턴보다 먼저 평가하도록 보강함. source evidence 8행과 promotion review candidate 8건(AdmissionRule 7 AdmissionSchedule 1)을 만들고 sourceLabels=gap_manual_sookmyung_docs로 foundation에 연결했다. 숙명여자대학교 2027 missing_eligibility_rule_draft와 missing_schedule_draft P0 gap은 해소됐고 숙명 P0 public discovery row는 0건이다. Foundation current snapshot admission-office evidence 113,623 / AdmissionRule review 63,507 / AdmissionUnit 57,161 / HistoricalOutcome 38,756 / admission schedule drafts 1,329 / promotion queue 330,968 / gap action 3,171 / public discovery queue 1,962(P0 16) / crawler worklist 121 / SQLite 30 imported tables 740,927 rows SHA 18126399dfef625392701e8e5cfb845b552cca0698f7f1fb7d366c2dca95cc9c. URL/source field helper/competitor targeted scan은 0건이다. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
cup-official-admission-site,p0,부산가톨릭대학교 입학처,부산가톨릭대학교,official_public_html_pdf_glm_ocr,2026-2028,https://ipsi.cup.ac.kr/ipsi/main.do,manual official ipsi.cup.ac.kr routes; pdfView067 수시 모집요강; pdfView068 정시 모집요강; pdfView061 대학입학전형 시행계획; pdfView083 수시 입시결과; pdfView065 정시 입시결과; calendar.do; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_cup_manual_integrated,"2026-06-12 수동 official-site 보강. 부산가톨릭대학교 ADIGA 코드 0000114를 대상으로 공식 host ipsi.cup.ac.kr만 사용함. 기존 homepage link candidate에서 pdfView viewer route를 확인하고 수시/정시 모집요강, 2027 대학입학전형 시행계획, 2026 수시·정시 입시결과, 입시캘린더 route seed 6행을 선별함. pdfView HTML 6건을 HTTP 200으로 보존하고 PDF 다운받기 direct file 5건만 선별해 공식 PDF artifact 5건을 HTTP 200으로 저장함. collector의 fileExtensionFor를 .pdf;jsessionid path parameter 형태도 인식하도록 보강함. 전용 extracted-gap-manual-cup-20260612 추출에서 PDF snippet 59행, HTML snippet 23행, 저텍스트 정시 모집요강 32쪽 page image와 glm-ocr evidence 27행을 포함해 source evidence 141행과 promotion review candidate 141건(AdmissionRule 61 OCRReviewQueue 46 HistoricalOutcome 28 AdmissionSchedule 6)을 생성함. sourceLabels=gap_manual_cup_docs로 foundation에 연결했고 SQLite 기준 부산가톨릭대학교 evidence link 147행, AdmissionRule review candidate 209행에 연결된다. 부산가톨릭대학교 2027 missing_recruitment_quota_draft와 missing_schedule_draft P0 gap은 해소됐고 public discovery queue는 1,967행/P0 18행, crawler worklist는 123행으로 감소했다. Foundation current snapshot admission-office evidence 113,615 / AdmissionRule review 63,500 / AdmissionUnit 57,161 / HistoricalOutcome 38,756 / promotion queue 330,956 / gap action 3,177 / public discovery queue 1,967 / crawler worklist 123 / SQLite 30 imported tables 740,925 rows SHA a750763e12d69d98a4f4cdfada00af2ca52f34d436b5febacf18bc796602b817. URL/source field helper/competitor targeted scan은 0건이다. 공식 PDF 본문에는 원서접수 대행사명이 등장할 수 있으나 URL/source field로 등록하지 않았고 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
mtu-official-admission-site,p0,감리교신학대학교 입학안내,감리교신학대학교,official_public_html_board_pdf_hwp_zip_jpg,2021-2028,https://www.mtu.ac.kr/mtu/main/main.do?mId=1,manual official www.mtu.ac.kr routes; mId=175 수시모집; mId=180 정시모집; mId=402 입시도우미 공지사항; mId=407 2028 입시전형계획; mId=408 2027 입시전형계획; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_mtu_manual_integrated,"2026-06-12 수동 official-site 보강. 감리교신학대학교 ADIGA 코드 0000050을 대상으로 공식 host www.mtu.ac.kr만 사용함. 2021~2028 수시·정시 모집요강, 추가모집 안내, 면접고사 안내, 대학입학전형 선행학습 영향평가, 입시결과 안내, 2027/2028 입시전형계획 route seed 31행을 선별함. 유웨이 원서접수 link와 검색에서 노출된 진학사/컨설팅/스크립트 공유 비공식 결과는 fetch/후보 등록에서 제외함. Detail/direct artifact 31건과 official attachment artifact 35건(PDF 17 HWP 9 ZIP 2 JPG download-route 7)을 HTTP 200으로 보존함. 전용 extracted-gap-manual-mtu-20260612 추출에서 source evidence 579행과 promotion review candidate 482건(AdmissionRule 331 AdmissionSchedule 125 HistoricalOutcome 26)을 생성함. sourceLabels=gap_manual_mtu_docs로 foundation에 연결했고 SQLite 기준 감리교신학대학교 evidence link 482행에 연결된다. Foundation current snapshot admission-office evidence 113,474 / AdmissionRule review 63,431 / AdmissionUnit 57,138 / HistoricalOutcome 38,747 / promotion queue 330,759 / gap action 3,190 / public discovery queue 1,978 / crawler worklist 128 / SQLite 30 imported tables 740,528 rows SHA 3dca96f305f840f1dfe129e92160255c7cfb16fb57e31cc293a80224e3eb73f3. URL-field helper/competitor targeted scan은 0건이다. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
hanseo-official-admission-site,p0,한서대학교 입학안내,한서대학교,official_public_html_board_pdf_hwp_ocr,2021-2028,https://helper.hanseo.ac.kr/,manual official helper.hanseo.ac.kr routes; /html/kr/sub1/sub1_0101.html; /html/kr/sub2/sub2_0201.html; /html/kr/sub6/sub6_060101.html; /html/kr/sub6/sub6_060102.html; compete01 and compete02 result boards; notice boards; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_hanseo_manual_integrated,"2026-06-11 수동 official-site 보강. 한서대학교 ADIGA 코드 0000199를 대상으로 공식 host helper.hanseo.ac.kr만 사용함. 2021~2028 수시·정시 모집요강, 전년도 입시결과, 공지사항, 대학입학전형 시행계획 route seed 99행을 선별했고 진학사 등 비공식 검색 결과와 원서접수/성적산출/상담/합격자/등록/환불/편입/외국인-only route는 fetch/후보 등록에서 제외함. Detail/direct/file artifacts는 모두 HTTP 200으로 보존했고 file artifact는 103건(PDF 54 HWP 49), 91 unique SHA, 22,198,176 bytes다. 전용 extracted-gap-manual-hanseo-20260611 추출에서 source evidence 1,854행과 promotion review candidate 1,724건(HistoricalOutcome 918 AdmissionRule 674 AdmissionSchedule 129 OCRReviewQueue 3)을 생성함. 저텍스트 수시 입결 PDF 3쪽은 glm-ocr로 보강했고 2026 한 페이지는 80dpi 재렌더링 뒤 OCR 처리함. sourceLabels=gap_manual_hanseo_docs로 foundation에 연결했고 SQLite 기준 evidence link 1,724행, AdmissionRule review candidate 813행에 연결된다. Foundation current snapshot admission-office evidence 112,992 / AdmissionRule review 63,100 / AdmissionUnit 57,115 / HistoricalOutcome 38,747 / promotion queue 330,202 / gap action 3,207 / public discovery queue 1,994 / crawler worklist 130 / SQLite 30 imported tables 739,146 rows SHA 3406c5e5ccddd9f4ca42e666c214fac4698df91b91d6434267625a479c186586. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
kbtus-official-admission-site,p0,한국침례신학대학교 입학처,한국침례신학대학교,official_public_html_pdf_hwp_ocr,2021-2028,https://ipsi.kbtus.ac.kr/ipsi/Main.do,manual official ipsi.kbtus.ac.kr routes; MN020 MN022 MN023 MN025 MN027; UploadMgr downloadRun.do file routes; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_kbtus_manual_integrated,"2026-06-09 수동 official-site 보강. 한국침례신학대학교 ADIGA 코드 0000182를 대상으로 공식 host ipsi.kbtus.ac.kr만 사용함. 공식 대학 홈페이지에서 학부 입학안내 route를 확인했고 수시/정시 모집요강, 수시 전년도 입시결과, 입학도우미 공지사항의 73개 route seed를 2021~2028 context로 선별함. 대학원 gipsi, 원서접수/등록/환불/장학/생활관/유웨이 등 helper 또는 운영-only route는 제외함. Detail/content artifact 73건과 file-download artifact 97건(PDF 71 HWP 26)을 모두 HTTP 200으로 보존함. 전용 extracted-gap-manual-kbtus-20260609 추출에서 source evidence 1,575행과 promotion review candidate 1,551건(HistoricalOutcome 919 AdmissionRule 516 AdmissionSchedule 108 OCRReviewQueue 8)을 생성함. sourceLabels=gap_manual_kbtus_docs로 foundation에 연결했고 SQLite 기준 한국침례신학대학교 evidence link 1,551행과 AdmissionRule review candidate 516행에 연결된다. Foundation current snapshot admission-office evidence 108,852 / AdmissionRule review 61,708 / AdmissionUnit 56,378 / HistoricalOutcome 38,061 / promotion queue 324,354 / gap action 3,259 / public discovery queue 2,030 / crawler worklist 132 / SQLite 30 imported tables 726,279 rows SHA 6b355188159e91500e771b79444561051174bced41534e821892061bf2519c4d. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
cnue-official-admission-site,p0,춘천교육대학교 입학처,춘천교육대학교,official_public_html_board_pdf_hwp_hwpx_xlsx_ocr,2021-2028,https://enter.cnue.ac.kr/enter/,manual official enter.cnue.ac.kr board/static routes; /enter/susi/result.do; /enter/jungsi/result.do; /enter/communication/notice.do; /enter/communication/plan.do; ?mode=download board attachments; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-workbook-sheets.py; scripts/extract-university-admission-workbook-row-candidates.py; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_cnue_manual_integrated,"2026-06-09 수동 official-site 보강. 춘천교육대학교 ADIGA 코드 0000262를 대상으로 공식 host enter.cnue.ac.kr만 사용함. /enter/ 공식 메뉴에서 수시·정시 입학전형결과, 모집요강, 공지사항, 대학입학전형 시행계획 board/static route를 확인하고 2021~2028 route seed 86행을 생성함. 공식 메뉴에 노출된 jinhakapply/addon.jinhakapply 원서접수·경쟁률 helper, 합격자 조회/등록, koedu PASS_INFO, ADIGA 외부 링크는 fetch/후보 등록에서 제외함. Detail/static artifact 86건은 모두 HTTP 200으로 보존했고 board attachment file route 74건 중 58건이 file artifact(PDF 33 HWP 18 HWPX 5 XLSX 2), 16건이 HTML diagnostic route로 보존됨. 전용 extracted-gap-manual-cnue-20260609 추출에서 PDF 35 source row/26 unique PDF/642 pages/805538 chars, HWP/HWPX 23 source/228565 chars, workbook row candidate 30, HTML snippet 1026, low-text PDF OCR page evidence 176행을 생성함. Source evidence 2069행과 promotion review candidate 1953건(HistoricalOutcome 1134 AdmissionRule 498 OCRReviewQueue 201 AdmissionSchedule 120)을 생성함. sourceLabels=gap_manual_cnue_docs로 foundation에 연결했고 춘천교육대학교 0000262 통합 후 sourceProviders=adiga|university-admission-office, years=2021|2022|2023|2024|2025|2026|2027|2028, admissionOfficeEvidenceCandidates=1953, admissionRuleReviewCandidates=578이다. Foundation current snapshot admission-office evidence 106532 / AdmissionRule review 60804 / AdmissionUnit 40088 / HistoricalOutcome 37986 / promotion queue 302897 / gap action 3930 / public discovery queue 2563 / crawler worklist 144 / SQLite 30 imported tables/684852 imported rows/SHA b9745983839c8017dcee382971ddb6cf03fc0d140189b098b515b4bd5e02c71a. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
kangnam-official-admission-site,p0,강남대학교 입학처,강남대학교,official_public_tcontrol_html_pdf_hwp_ocr,2021-2028,https://admission.kangnam.ac.kr/iphak/mojib.htm,manual official Kangnam TControl routes; /iphak/mojib.htm; /iphak/jaryo.htm; /doumi/notice.htm; BoardView/detail HTML and file-download routes; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-workbook-sheets.py; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_kangnam_manual_integrated,"2026-06-09 수동 official-site 보강. 최신 foundation row에서 admission-office evidence가 없던 ADIGA 코드 0000051 강남대학교를 대상으로 공식 host admission.kangnam.ac.kr만 사용함. 공식 모집요강 /iphak/mojib.htm, 자료실 /iphak/jaryo.htm, 공지 /doumi/notice.htm에서 2021~2028 수시/정시 모집요강, 학생부종합전형/학교교육 중심전형 안내서, 논술가이드북, 대학입학전형계획/주요사항, 선행학습 영향평가, 대입전형결과 및 수시/정시 경쟁률 route 70행을 선별함. 외국인/재외국민/편입/시간제/추가모집-only/등록금/합격자 발표/원서접수/서식/오리엔테이션/기숙사/입학식/모의논술/실기·면접고사/환불/수강신청/학사제도/등록생/오타수정/모집인원 변경/등록 안내 route는 자동 fetch 대상에서 제외함. Detail HTML 70건은 모두 HTTP 200으로 보존했고 공식 file route 107건을 HTTP 200 file artifact로 보존함. 파일 분포는 PDF 63 HWP 44, 84 unique SHA, 323,729,189 bytes. 전용 extracted-gap-manual-kangnam-20260609 추출에서 source evidence 1,877행과 promotion review candidate 1,613건(AdmissionRule 1,021 AdmissionSchedule 277 OCRReviewQueue 196 HistoricalOutcome 119)을 생성함. sourceLabels=gap_manual_kangnam_docs로 foundation에 연결했고 SQLite 기준 evidence link 1,613행, AdmissionRule review candidate 1,160행에 연결된다. 강남대학교 0000051 통합 후 sourceProviders=academyinfo|adiga|university-admission-office, years=2021|2022|2023|2024|2025|2026|2027|2028, admissionOfficeEvidenceCandidates=1613, admissionRuleReviewCandidates=1160이다. Foundation current snapshot admission-office evidence 91,053 / AdmissionRule review 58,521 / AdmissionUnit 39,419 / HistoricalOutcome 37,933 / promotion queue 286,338 / gap action 4,028 / public discovery queue 2,644 / crawler worklist 152 / SQLite 30 imported tables/649,791 imported rows/SHA a8ad5d335e3a01fdf37eacc621cfdc9cd5819c86ff1593c9de78c8c506698350. URL 필드 기준 helper/competitor term targeted search는 0건이다. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
hsmu-official-admission-site,p0,화성의과학대학교 입학처,화성의과학대학교,official_public_html_file_route_pdf_hwp_hwpx_xls_xlsx,2023-2028,https://www.hsmu.ac.kr/admission/main/index.do,manual official HSMU admission routes; AMS10100000.do; AMS20100000.do; AMS40100000.do notice board; /afile/fileDownload routes; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-workbook-sheets.py; scripts/extract-university-admission-workbook-row-candidates.py; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_hsmu_manual_integrated,"2026-06-09 수동 official-site 보강. 최신 gap crawler/public context에서 공식 host www.hsmu.ac.kr 대상 ADIGA 코드 0000233 화성의과학대학교를 선별함. HSMU TLS 인증서 chain 문제로 official hsmu.ac.kr 요청에 한해 unverified HTTPS를 사용했고 status/finalUrl/rawPath/SHA/bytes를 manifest에 보존함. 공식 2027 수시 모집요강, 2026 정시 모집요강, notice board의 입시결과/모집요강/전형계획/산출방법/제출서류/추가모집 route를 선별해 HTML route 28행과 공식 file candidate 55행을 생성함. 편입-only, PDF viewer installers, brochure/logo assets, 외부 application/helper/competition pages는 제외했고 공식 본문 내 외부 원서접수 mention은 review text에서 중립 문구로 redaction함. 공식 /afile/fileDownload 및 direct file route 55건은 모두 HTTP 200 file artifact로 보존했고 파일 분포는 PDF 23 HWP 17 HWPX 2 XLSX 12 XLS 1, 43 unique SHA, 29,486,487 bytes. 전용 extracted-gap-manual-hsmu-20260609 추출에서 source evidence 1,864행과 promotion review candidate 1,620건(HistoricalOutcome 1,192 AdmissionRule 230 OCRReviewQueue 146 AdmissionSchedule 52)을 생성함. sourceLabels=gap_manual_hsmu_docs로 foundation에 연결했고 SQLite 기준 evidence link 1,620행, AdmissionRule review candidate 230행에 연결된다. 화성의과학대학교 0000233 통합 후 sourceProviders=academyinfo|adiga|university-admission-office, admissionOfficeEvidenceCandidates=1620, admissionRuleReviewCandidates=302이다. Foundation current snapshot admission-office evidence 87,991 / AdmissionRule review 56,705 / AdmissionUnit 39,053 / HistoricalOutcome 37,764 / promotion queue 282,537 / gap action 4,086 / public discovery queue 2,697 / crawler worklist 156 / SQLite 30 imported tables/640,598 imported rows/SHA 974be0f63a7028554553fac9fd829658d641d99af4003b132c99b52387133890. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
koreatech-official-admission-site,p0,한국기술교육대학교 입학처,한국기술교육대학교,official_public_html_pdf_hwp_ocr,2021-2028,https://www.koreatech.ac.kr/board.es?bid=0036&mid=a40601000000,manual official KoreaTech board.es routes; boardDownload.es attachments; src/collect/university-admission-artifacts.ts; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/extract-university-admission-hwp-text.py; scripts/extract-university-admission-hwp-snippets.py; scripts/extract-university-admission-html-snippets.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_koreatech_manual_integrated,"2026-06-09 수동 official-site 보강. 최신 foundation row에서 admission-office evidence가 없던 ADIGA 코드 0000189 한국기술교육대학교를 대상으로 공식 host www.koreatech.ac.kr만 사용함. 공식 입학자료 board.es bid=0036에서 2021~2028 입시결과, 수시/정시 모집요강, 대학입학전형 주요사항/시행계획, 선행학습 영향평가 route 40행을 선별했고, 편입/외국인/계약학과/추가모집/합격자/등록/서류양식/박람회/성적계산/유웨이 상담 link는 자동 fetch 대상에서 제외함. Detail HTML 40건은 모두 HTTP 200으로 보존했고 공식 boardDownload.es file route 57건을 HTTP 200 file artifact로 보존함. 파일 분포는 PDF 50 HWP 7, 56 unique SHA, 294,542,082 bytes. 전용 extracted-gap-manual-koreatech-20260609 추출에서 source evidence 1,673행과 promotion review candidate 1,449건(AdmissionRule 795 HistoricalOutcome 415 OCRReviewQueue 147 AdmissionSchedule 92)을 생성함. sourceLabels=gap_manual_koreatech_docs로 foundation에 연결했고 SQLite 기준 evidence link 1,449행, AdmissionRule review candidate 795행에 연결된다. 한국기술교육대학교 0000189 통합 후 sourceProviders=academyinfo|adiga|university-admission-office, years=2021|2022|2023|2024|2025|2026|2027|2028, admissionOfficeEvidenceCandidates=1449, admissionRuleReviewCandidates=936이다. Foundation current snapshot admission-office evidence 89,440 / AdmissionRule review 57,500 / AdmissionUnit 39,202 / HistoricalOutcome 37,930 / promotion queue 284,419 / gap action 4,056 / public discovery queue 2,671 / crawler worklist 154 / SQLite 30 imported tables/645,034 imported rows/SHA c7f252e96f6ef70853455117156a0fa3aa937812296eb9f55ed5caba04956274. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
scu-official-admission-site,p0,서울기독대학교 입학처,서울기독대학교,official_public_react_spa_api_pdf_ocr,2021-2028,https://admission.scu.ac.kr/,manual React SPA source-map/API discovery; /api/board/university-guideline; /api/board/entrance/notice/{id}; /api/file; src/collect/university-admission-attachments.ts; scripts/extract-university-admission-pdf-text.py; scripts/extract-university-admission-pdf-snippets.py; scripts/render-university-admission-low-text-pdf-images.py; scripts/ocr-university-admission-low-text-pdf-images.py; scripts/build-university-admission-evidence-index.py; scripts/build-university-admission-promotion-queue.py; scripts/build-foundation-db-candidates.py,true,foundation_scu_manual_integrated,"2026-06-09 수동 official-site/API 보강. 최신 gap crawler worklist에서 공식 host admission.scu.ac.kr 대상 ADIGA 코드 0000098 서울기독대학교를 선별함. React SPA shell과 공개 source map에서 /api/board/university-guideline, /api/board/entrance/notice, /api/file 경로를 확인했고 공식 API 응답만 사용함. 2021~2028 수시·정시·추가모집 모집요강, 대학입학전형 주요계획/시행계획, 2021~2023 수시·정시 경쟁률 PDF 후보 39행과 API source row 39행, source route row 31행을 생성함. 편입·재입학, 대학원, 외국인-only, 학자금/상환동의서 양식, 외부 helper/competitor URL은 제외함. 공식 /api/file PDF 39건은 모두 HTTP 200 application/pdf로 보존했고 32 unique SHA, 35,416,761 bytes, PDF text extraction 714쪽/1,841,696자를 확보함. 저텍스트 경쟁률 PDF 2건은 4쪽 이미지로 렌더링해 Tesseract OCR evidence 4행을 추가함. 전용 extracted-gap-manual-scu-20260609 추출에서 PDF snippet 782건, evidence 790행, promotion review candidate 625건을 생성했고 target은 AdmissionRule 520 AdmissionSchedule 85 HistoricalOutcome 16 OCRReviewQueue 4로 분포함. sourceLabels=gap_manual_scu_docs로 foundation에 연결했고 SQLite 기준 서울기독대학교 0000098 evidence link 625행, AdmissionRule review candidate 570행에 연결된다. 통합 후 sourceProviders는 academyinfo|adiga|university-admission-office, admissionOfficeEvidenceCandidates=625, admissionRuleReviewCandidates=570이다. Foundation current snapshot admission-office evidence 86,371 / AdmissionRule review 56,475 / AdmissionUnit 38,998 / HistoricalOutcome 37,764 / promotion queue 280,825 / gap action 4,103 / public discovery queue 2,723 / crawler worklist 158 / SQLite 30 imported tables/636,982 imported rows/SHA e88e809e1d8c1a8e78b029a0e9e86c8e252564f9ae3c52376b402eeff0106050. 모든 row는 source-preserving review candidate이며 외부 경쟁도구 결과 자동수집 row가 아니다."
